"Bioproject.Accession";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Strain";"Phenotype";"Relevance";"Diseases";"Host.Name";"Ecosystem.Category";"Habitat";"Study.Name";"HumanHost";"Pathogenic"
"PRJNA62435";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter sp. NCTC 10304";"Acinetobacter sp. Hugh 2212, NCTC 10304";"Pathogen";"Human Pathogen, Medical";"Nosocomial infection, Pneumonia";"Homo sapiens";"Animal";"Fresh water, Host, Human skin, Skin";"Acinetobacter sp. Hugh 2212, NCTC 10304";TRUE;TRUE
"PRJNA17261";"Fusobacteria";"Fusobacteriia";"Fusobacteriales";"Fusobacteriaceae";"Fusobacterium";"Fusobacterium nucleatum";"Fusobacterium nucleatum polymorphum ATCC 10953";"Pathogen";"Human Pathogen, Medical";"Periodontal infection";"Homo sapiens";"Human";"Host, Oral cavity";"Oral bacterium contributing to tooth decay and gingivitis";TRUE;TRUE
"PRJNA27915";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus anthracis";"Bacillus anthracis A0442";"Pathogen";"Animal Pathogen, Medical";"Anthrax";"Homo sapiens";"Mammals";"Host";"WFO-LANL Proposal";TRUE;TRUE
"PRJNA16293";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Campylobacteraceae";"Campylobacter";"Campylobacter fetus";"Campylobacter fetus fetus 82-40";"Food poisoning, Pathogen";"Animal Pathogen, Human Pathogen, Medical, Poultry Pathogen";"Bacteremia, Infectious abortions, Infertility, Meningitis, Septicemia";"Homo sapiens";"Human";"Host, Wastewater";"Campylobacter fetus fetus 82-40";TRUE;TRUE
"PRJNA78807";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Mycobacteriaceae";"Mycobacterium";"Mycobacterium tuberculosis";"Mycobacterium tuberculosis OSDD071";"";"Medical";"Tuberculosis";"Homo sapiens";"Animal";"";"Mycobacterium tuberculosis OSDD genome sequencing";TRUE;TRUE
"PRJNA50995";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC9D";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA28745";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Yersinia";"Yersinia pseudotuberculosis";"Yersinia pseudotuberculosis sv. IB PB1/+";"Pathogen";"Comparative analysis, Human Pathogen, Medical";"Gastroenteritis";"Homo sapiens";"";"Host";"Placeholder for Acetobacter aceti";TRUE;TRUE
"PRJNA64061";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori CPY3281";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA237";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus NCTC 8325";"Pathogen";"Animal Pathogen, Cattle Pathogen, Human Pathogen, Medical, Poultry Pathogen";"Staphylococcal scarlet fever, Toxic-shock syndrome";"Homo sapiens";"Human";"Host";"Staphylococcus aureus aureus NCTC 8325";TRUE;TRUE
"PRJNA48933";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae 7879-04";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae genome sequencing project";TRUE;TRUE
"PRJNA12953";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Rickettsiaceae";"Rickettsia";"Rickettsia akari";"Rickettsia akari Hartford";"Obligate parasite, Pathogen";"Human Pathogen, Medical";"Rickettsial pox";"Homo sapiens";"";"Host";"Rickettsia akari Hartford";TRUE;TRUE
"PRJNA16135";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Campylobacteraceae";"Campylobacter";"Campylobacter jejuni";"Campylobacter jejuni jejuni sv. Penner 23/36 81-176";"Food poisoning, Pathogen";"Animal Pathogen, Human Pathogen, Medical, Poultry Pathogen";"Diarrhea, Food poisoning, Gastroenteritis";"Homo sapiens";"Human";"Animal feces, Feces, Gastrointestinal tract, Host, Wastewater";"Campylobacter jejuni project - TIGR";TRUE;TRUE
"PRJNA64201";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp P-30";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA19417";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Ureaplasma";"Ureaplasma urealyticum";"Ureaplasma urealyticum sv. 11 K2";"Pathogen";"Human Pathogen, Medical";"Chorioamnioitis, Infertility, Non-specific urethritis (NSU)";"Homo sapiens";"Human";"Host, Urogenital tract";"Genome sequence of Ureaplasma parvum";TRUE;TRUE
"PRJNA86235";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae CCUG 37741";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"Human";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA27751";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli O157:H7 EC4486";"";"Human Pathogen, Medical";"Diarrhea, Hemorrhagic colitis";"Homo sapiens";"";"Host, Human intestinal microflora";"Enterohemorrhagic isolate E. coli - JCVI";TRUE;TRUE
"PRJNA27745";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli O157:H7 EC4076";"";"Human Pathogen, Medical";"Diarrhea, Hemorrhagic colitis";"Homo sapiens";"";"Host, Human intestinal microflora";"Enterohemorrhagic isolate E. coli - JCVI";TRUE;TRUE
"PRJNA30623";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus";"Enterococcus faecalis";"Enterococcus faecalis TX0104";"Pathogen";"Comparative analysis, Human Microbiome Project (HMP), Human Pathogen, Medical";"Bacteremia, Endocarditis, Urinary infection";"Homo sapiens";"Human";"Host, Intestinal tract, Wastewater";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA30649";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Treponema";"Treponema pallidum";"Treponema pallidum pallidum DAL-1";"Pathogen";"Human Pathogen, Medical";"Syphilis";"Homo sapiens";"";"Host";"Whole genome sequences of three Treponema pallidum ssp. pertenue strains";TRUE;TRUE
"PRJNA19813";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Rickettsiaceae";"Rickettsia";"Rickettsia prowazekii";"Rickettsia prowazekii Rp22";"Pathogen";"Biothreat, Human Pathogen, Medical";"Rocky Mountain Spotted Fever, Typhus";"Homo sapiens";"";"Host";"Rickettsia prowazekii Rp22";TRUE;TRUE
"PRJNA50809";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae SPN032672";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"";"Host";"Streptococcus pneumoniae SPN strains, WTSI";TRUE;TRUE
"PRJNA63867";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HCUF01";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA27803";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Paratyphi B SPB7";"Pathogen";"Human Pathogen, Medical";"Food poisoning, Paratyphoid fever, Salmonellosis";"Homo sapiens";"Human";"Host";"Salmonella enterica enterica sv Paratyphi B, SPB7";TRUE;TRUE
"PRJNA13988";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia mallei";"Burkholderia mallei JHU";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Glanders, Pneumonia";"Homo sapiens";"";"Host";"Burkholderia mallei JHU";TRUE;TRUE
"PRJNA16393";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria meningitidis";"Neisseria meningitidis sv. C 053442";"Pathogen";"Human Pathogen, Medical";"Invasive, Meningitis, Septicemia";"Homo sapiens";"Human";"Host";"Neisseria meningitidis 053442";TRUE;TRUE
"PRJEB5998";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bartonellaceae";"Bartonella";"Bartonella henselae";"Bartonella henselae BM1374165";"";"Medical, Pathogen";"Bartonellosis";"Homo Sapiens";"";"Host, Human blood";"Genome of Bartonella henselae BM1374165";TRUE;TRUE
"PRJNA21055";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Mycobacteriaceae";"Mycobacterium";"Mycobacterium tuberculosis";"Mycobacterium tuberculosis KZN 1435 (MDR)";"Pathogen";"Human Pathogen, Medical";"Tuberculosis";"Homo sapiens";"Human";"Host";"Mycobacterium tuberculosis sequencing- Broad Institute";TRUE;TRUE
"PRJNA68845";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria meningitidis";"Neisseria meningitidis NM233";"Parasite";"Medical";"Meningitis";"Homo sapiens";"Human";"";"Neisseria meningitidis genome sequencing, Univ of Maryland, School of Medicine / IGS";TRUE;TRUE
"PRJNA63919";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HC-32A1";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA38409";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Yersinia";"Yersinia pestis";"Yersinia pestis G1670";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Bubonic and Pneumonic plague";"Homo sapiens";"Mammals";"Host";"Yersinia pestis G1670";TRUE;TRUE
"PRJNA53161";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus sanguinis";"Streptococcus sanguinis SK115";"Pathogen";"Human Microbiome Project (HMP), Medical";"Endocarditis";"Homo sapiens";"Human";"Host, Oral cavity";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA64193";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp P-23";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA30071";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter canadensis";"Helicobacter canadensis MIT 98-5491, ATCC 700968";"Pathogen";"Human Microbiome Project (HMP), Medical";"Gastroenteritis";"Homo sapiens";"Human";"Host";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA64385";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Yersinia";"Yersinia pestis";"Yersinia pestis PY-98";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Bubonic and Pneumonic plague";"Homo sapiens";"";"Host";"Genome sequence of Yersinia Pestis";TRUE;TRUE
"PRJDA50593";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori F32";"Pathogen";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Evolution in an oncogenic bacterial species with extreme genome plasticity";TRUE;TRUE
"PRJNA49767";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans 2ST1";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"";"Host";"Streptococcus mutans 2ST1";TRUE;TRUE
"PRJNA48761";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA19923";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Animal";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA49361";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus anthracis";"Bacillus anthracis H9401";"Pathogen";"Biothreat, Human Pathogen, Medical";"Anthrax";"Homo sapiens";"Human";"Host, Soil";"Bacillus anthracis H9401";TRUE;TRUE
"PRJNA49781";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans NFSM2";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans";TRUE;TRUE
"PRJNA51747";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli K-12, MG1655";"Non-Pathogen";"Medical";"";"Homo sapiens";"Mammals";"Host, Human intestinal microflora";"Escherichia coli K-12, MG1655";TRUE;FALSE
"PRJNA266";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus MSSA476 (re-annotation)";"Pathogen";"Animal Pathogen, Cattle Pathogen, Human Pathogen, Medical, Poultry Pathogen";"Staphylococcal scarlet fever, Toxic-shock syndrome";"Homo sapiens";"";"Host";"Staphylococcus aureus aureus MSSA476";TRUE;TRUE
"PRJNA53379";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii OIFC032";"Pathogen";"Medical, Nosocomial Pathogen";"Nosocomial infection, Pneumonia";"Homo sapiens";"Built environment";"Fresh water, Host, Human skin, Skin";"Genome sequencing of  Acinetobacter baumannii Isolates - Walter Reed Army Institute of Research";TRUE;TRUE
"PRJNA28663";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Enterobacter";"Enterobacter cancerogenus";"Enterobacter cancerogenus ATCC 35316";"";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Medical";"Wound infection";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA53407";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii Naval-13";"Pathogen";"Medical, Nosocomial Pathogen";"Nosocomial infection, Pneumonia";"Homo sapiens";"Unclassified";"Fresh water, Host, Human skin, Skin";"Genome sequencing of  Acinetobacter baumannii Isolates - Walter Reed Army Institute of Research";TRUE;TRUE
"PRJNA196";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bartonellaceae";"Bartonella";"Bartonella henselae";"Bartonella henselae Houston-1";"Intracellular, Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Bacillary angiomatosis";"Homo sapiens";"Human";"Host";"Bartonella sequencing, Uppsala University";TRUE;TRUE
"PRJNA50915";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC2B";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA49911";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Moraxella";"Moraxella catarrhalis";"Moraxella catarrhalis 103P14B1";"Pathogen";"Pathogen";"Bronchitis, Chronic infection, Otitis, Sinusitis";"Homo sapiens";"Unclassified";"Host, Human airways, Human upper respiratory tract";"Moraxella catarrhalis genome sequencing and comparison";TRUE;TRUE
"PRJNA42401";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Corynebacteriaceae";"Corynebacterium";"Corynebacterium diphtheriae";"Corynebacterium diphtheriae C7 (beta)";"Pathogen";"Medical";"Diphtheria, Respiratory infection";"Homo sapiens";"Lab synthesis";"Host";"Pan-genomics of Corynebacterium diphtheriae";TRUE;TRUE
"PRJNA17057";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Borrelia";"Borrelia afzelii";"Borrelia afzelii PKo";"Pathogen";"Comparative analysis, Human Pathogen, Medical";"Acrodermatitis chronica atrophicans, Lyme disease";"Homo sapiens";"Animal";"Host";"Borrelia afzelii PKo";TRUE;TRUE
"PRJNA53195";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Campylobacteraceae";"Arcobacter";"Arcobacter butzleri";"Arcobacter butzleri JV22";"Pathogen";"Human Microbiome Project (HMP), Medical";"Bacteremia, Gastroenteritis";"Homo sapiens";"Animal";"Fresh water, Host, Marine";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA52391";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii AB210";"Pathogen";"Medical";"Nosocomial infection, Pneumonia";"Homo sapiens";"Human";"Fresh water, Host, Human skin, Skin";"Acinetobacter baumannii AB210";TRUE;TRUE
"PRJNA61077";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria meningitidis";"Neisseria meningitidis M01-240013";"Pathogen";"Comparative analysis, Human Pathogen, Medical";"Meningitis, Septicemia";"Homo sapiens";"";"Host";"Neisseria meningitidis genome sequencing, Univ of Maryland, School of Medicine / IGS";TRUE;TRUE
"PRJNA29683";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus cereus";"Bacillus cereus Rock3-44";"Pathogen";"Human Pathogen, Medical";"Food poisoning";"Homo sapiens";"Terrestrial";"Host, Soil";"Bacillus cereus sequencing, Naval Medical Research center";TRUE;TRUE
"PRJNA39707";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Mycoplasma";"Mycoplasma genitalium";"Mycoplasma genitalium M2288";"";"Human Pathogen, Medical";"Urogenital infection";"Homo sapiens";"Animal";"Host, Urogenital tract";"Mycoplasma genitalium G37";TRUE;TRUE
"PRJNA53397";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii IS-123";"Pathogen";"Medical, Nosocomial Pathogen";"Nosocomial infection, Pneumonia";"Homo sapiens";"Human";"Fresh water, Host, Human skin, Skin";"Diversity of US Military Acinetobacter baumannii-calcoaceticus Complex Isolates - Walter Reed Army Institute of Research";TRUE;TRUE
"PRJNA30045";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli O157:H7 TW14359";"Pathogen";"Comparative analysis, Human Pathogen, Medical";"Diarrhea, Hemorrhagic colitis";"Homo sapiens";"Food production";"Host, Human intestinal microflora";"Escherichia coli O157:H7 TW14359";TRUE;TRUE
"PRJNA288";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Yersinia";"Yersinia pestis";"Yersinia pestis sv. Mediaevalis KIM 10 (re-annotation)";"Pathogen";"Biothreat, Human Pathogen, Medical";"Bubonic plague";"Homo sapiens";"";"Host";"Yersinia pestis KIM 10";TRUE;TRUE
"PRJNA19843";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Borrelia";"Borrelia valaisiana";"Borrelia valaisiana VS116";"Pathogen";"Human Pathogen, Medical";"Lyme disease";"Homo sapiens";"Insecta";"Host";"Borrelia valaisiana VS116";TRUE;TRUE
"PRJNA49675";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas";"Pseudomonas fulva";"Pseudomonas fulva 12-X";"";"Bioenergy, Biofuels, Biomass conversion";"Bacteremia";"Homo sapiens";"Terrestrial";"Host, Soil";"Compost Feedstock-Adapted Isolates";TRUE;TRUE
